account_id,district_id,frequency,date,Account_type
1866,4,POPLATEK MESICNE,971117,Savings account
149,43,POPLATEK MESICNE,971116,NRI account
3082,33,POPLATEK MESICNE,971116,NRI account
3156,1,POPLATEK PO OBRATU,971116,Salary account
2438,71,POPLATEK MESICNE,971116,Salary account
1833,54,POPLATEK MESICNE,971115,Salary account
2221,58,POPLATEK MESICNE,971115,NRI account
2658,27,POPLATEK MESICNE,971114,Salary account
2721,74,POPLATEK MESICNE,971114,NRI account
2920,73,POPLATEK MESICNE,971113,Savings account
566,8,POPLATEK MESICNE,971113,Savings account
1245,68,POPLATEK MESICNE,971112,NRI account
1348,55,POPLATEK MESICNE,971112,Savings account
3423,11,POPLATEK MESICNE,971110,Salary account
2831,1,POPLATEK MESICNE,971110,Savings account
2211,61,POPLATEK PO OBRATU,971110,Salary account
3360,71,POPLATEK MESICNE,971110,Salary account
952,41,POPLATEK MESICNE,971109,Savings account
696,54,POPLATEK MESICNE,971109,NRI account
2998,21,POPLATEK MESICNE,971109,Salary account
867,60,POPLATEK MESICNE,971109,NRI account
1208,4,POPLATEK MESICNE,971109,Savings account
2391,2,POPLATEK MESICNE,971107,NRI account
1140,49,POPLATEK MESICNE,971107,Salary account
644,4,POPLATEK MESICNE,971106,NRI account
2402,18,POPLATEK MESICNE,971106,NRI account
3395,16,POPLATEK MESICNE,971105,NRI account
2296,29,POPLATEK MESICNE,971105,Savings account
10613,55,POPLATEK MESICNE,971104,Salary account
606,75,POPLATEK MESICNE,971104,NRI account
9227,51,POPLATEK MESICNE,971104,NRI account
1723,70,POPLATEK MESICNE,971104,Salary account
3404,33,POPLATEK MESICNE,971104,Savings account
1657,12,POPLATEK MESICNE,971104,Salary account
639,1,POPLATEK MESICNE,971103,NRI account
3325,11,POPLATEK MESICNE,971103,NRI account
1703,72,POPLATEK MESICNE,971102,Savings account
3598,76,POPLATEK MESICNE,971102,Savings account
782,42,POPLATEK MESICNE,971030,Salary account
2784,40,POPLATEK MESICNE,971030,NRI account
671,60,POPLATEK MESICNE,971029,Salary account
643,64,POPLATEK MESICNE,971028,Savings account
1340,52,POPLATEK MESICNE,971028,NRI account
2703,61,POPLATEK MESICNE,971028,Savings account
2413,33,POPLATEK MESICNE,971027,Savings account
3963,9,POPLATEK MESICNE,971027,Salary account
876,4,POPLATEK MESICNE,971026,Salary account
1172,6,POPLATEK MESICNE,971025,Savings account
398,69,POPLATEK MESICNE,971024,NRI account
2174,18,POPLATEK MESICNE,971024,Savings account
3705,20,POPLATEK MESICNE,971024,Salary account
1209,23,POPLATEK MESICNE,971023,NRI account
2371,15,POPLATEK TYDNE,971023,Salary account
852,57,POPLATEK MESICNE,971023,Savings account
2152,22,POPLATEK MESICNE,971023,Savings account
3857,54,POPLATEK MESICNE,971022,Salary account
156,64,POPLATEK MESICNE,971022,Savings account
3922,68,POPLATEK MESICNE,971022,NRI account
2910,68,POPLATEK MESICNE,971021,NRI account
2756,24,POPLATEK MESICNE,971021,Savings account
1572,72,POPLATEK MESICNE,971021,NRI account
1615,1,POPLATEK MESICNE,971020,Salary account
2311,28,POPLATEK MESICNE,971019,NRI account
2556,46,POPLATEK MESICNE,971019,Savings account
961,1,POPLATEK MESICNE,971018,Savings account
2579,24,POPLATEK MESICNE,971018,Savings account
3919,34,POPLATEK MESICNE,971018,NRI account
3875,44,POPLATEK MESICNE,971018,NRI account
550,24,POPLATEK MESICNE,971017,Savings account
3324,3,POPLATEK MESICNE,971017,Salary account
1061,44,POPLATEK MESICNE,971017,Salary account
2215,48,POPLATEK MESICNE,971017,Salary account
2053,5,POPLATEK MESICNE,971016,NRI account
3561,33,POPLATEK MESICNE,971015,Salary account
1807,21,POPLATEK MESICNE,971015,NRI account
11327,7,POPLATEK MESICNE,971015,NRI account
2231,2,POPLATEK MESICNE,971014,Salary account
966,15,POPLATEK MESICNE,971014,Salary account
1968,16,POPLATEK TYDNE,971014,NRI account
2879,15,POPLATEK MESICNE,971014,NRI account
3023,35,POPLATEK MESICNE,971014,Savings account
1279,28,POPLATEK MESICNE,971013,NRI account
502,1,POPLATEK MESICNE,971013,Salary account
1506,51,POPLATEK MESICNE,971013,Savings account
5708,64,POPLATEK TYDNE,971012,NRI account
7049,69,POPLATEK MESICNE,971012,NRI account
121,55,POPLATEK MESICNE,971011,NRI account
1727,9,POPLATEK MESICNE,971011,Savings account
2097,46,POPLATEK MESICNE,971011,Savings account
133,64,POPLATEK TYDNE,971011,Savings account
2897,51,POPLATEK MESICNE,971011,Savings account
745,43,POPLATEK MESICNE,971009,Salary account
3813,1,POPLATEK MESICNE,971009,NRI account
1342,9,POPLATEK MESICNE,971009,Savings account
2069,72,POPLATEK MESICNE,971008,Savings account
205,1,POPLATEK MESICNE,971008,Savings account
1150,29,POPLATEK MESICNE,971008,Salary account
1608,26,POPLATEK MESICNE,971008,Salary account
1494,1,POPLATEK MESICNE,971008,NRI account
2272,48,POPLATEK MESICNE,971008,Savings account
2634,45,POPLATEK MESICNE,971008,Savings account
4143,55,POPLATEK MESICNE,971007,Salary account
2133,11,POPLATEK MESICNE,971007,Salary account
3342,59,POPLATEK MESICNE,971006,NRI account
2715,42,POPLATEK MESICNE,971006,Salary account
1596,70,POPLATEK MESICNE,971005,NRI account
4116,6,POPLATEK MESICNE,971005,NRI account
3401,38,POPLATEK TYDNE,971004,Salary account
2036,70,POPLATEK MESICNE,971003,NRI account
6866,14,POPLATEK MESICNE,971002,Savings account
4132,36,POPLATEK MESICNE,971002,Savings account
2136,75,POPLATEK MESICNE,971002,Savings account
2370,51,POPLATEK MESICNE,971001,Savings account
1379,47,POPLATEK MESICNE,971001,NRI account
1313,45,POPLATEK MESICNE,971001,NRI account
129,74,POPLATEK MESICNE,971001,Savings account
2007,45,POPLATEK MESICNE,970929,Savings account
1064,70,POPLATEK MESICNE,970929,NRI account
7274,11,POPLATEK MESICNE,970928,NRI account
3383,29,POPLATEK MESICNE,970928,NRI account
2461,1,POPLATEK MESICNE,970928,Salary account
3916,8,POPLATEK MESICNE,970928,NRI account
2745,60,POPLATEK MESICNE,970928,NRI account
10152,34,POPLATEK MESICNE,970928,NRI account
2846,1,POPLATEK MESICNE,970927,NRI account
1443,54,POPLATEK MESICNE,970927,NRI account
1992,48,POPLATEK MESICNE,970927,NRI account
755,38,POPLATEK MESICNE,970927,NRI account
3106,12,POPLATEK TYDNE,970926,Salary account
2312,65,POPLATEK MESICNE,970926,NRI account
177,1,POPLATEK MESICNE,970926,NRI account
4128,64,POPLATEK MESICNE,970926,Savings account
89,68,POPLATEK MESICNE,970925,NRI account
4616,1,POPLATEK MESICNE,970924,Salary account
3757,64,POPLATEK MESICNE,970924,Savings account
2942,44,POPLATEK MESICNE,970924,NRI account
1814,17,POPLATEK MESICNE,970923,NRI account
1718,71,POPLATEK MESICNE,970923,Salary account
16,12,POPLATEK MESICNE,970923,Savings account
1101,4,POPLATEK MESICNE,970922,Salary account
179,1,POPLATEK TYDNE,970922,Savings account
3610,1,POPLATEK MESICNE,970922,NRI account
3463,38,POPLATEK MESICNE,970921,Salary account
3103,1,POPLATEK PO OBRATU,970921,NRI account
1876,1,POPLATEK MESICNE,970920,Savings account
2765,69,POPLATEK MESICNE,970920,NRI account
387,72,POPLATEK MESICNE,970919,Salary account
3300,71,POPLATEK MESICNE,970919,NRI account
3657,62,POPLATEK MESICNE,970919,NRI account
823,71,POPLATEK MESICNE,970919,Savings account
5283,15,POPLATEK MESICNE,970918,Savings account
1438,23,POPLATEK TYDNE,970918,Salary account
328,1,POPLATEK MESICNE,970918,NRI account
118,68,POPLATEK MESICNE,970918,NRI account
3603,3,POPLATEK MESICNE,970917,Savings account
1872,61,POPLATEK MESICNE,970917,NRI account
3671,21,POPLATEK MESICNE,970917,NRI account
735,70,POPLATEK MESICNE,970917,NRI account
3274,76,POPLATEK MESICNE,970917,NRI account
5870,75,POPLATEK MESICNE,970917,Salary account
1946,46,POPLATEK MESICNE,970916,Savings account
402,68,POPLATEK MESICNE,970914,Salary account
9156,18,POPLATEK MESICNE,970914,Savings account
3987,25,POPLATEK MESICNE,970914,Salary account
3852,20,POPLATEK MESICNE,970914,NRI account
384,24,POPLATEK TYDNE,970914,NRI account
677,70,POPLATEK MESICNE,970913,NRI account
6505,7,POPLATEK MESICNE,970913,Savings account
1240,1,POPLATEK MESICNE,970911,NRI account
1783,70,POPLATEK MESICNE,970911,Salary account
7156,71,POPLATEK MESICNE,970911,NRI account
1085,42,POPLATEK MESICNE,970911,NRI account
2684,7,POPLATEK MESICNE,970910,Salary account
2459,55,POPLATEK MESICNE,970910,Savings account
2997,40,POPLATEK MESICNE,970909,Salary account
10650,76,POPLATEK MESICNE,970909,NRI account
1303,23,POPLATEK MESICNE,970908,Salary account
783,1,POPLATEK MESICNE,970908,NRI account
1729,53,POPLATEK MESICNE,970908,NRI account
1790,70,POPLATEK MESICNE,970908,NRI account
2351,74,POPLATEK MESICNE,970908,Savings account
2480,35,POPLATEK MESICNE,970907,NRI account
2444,76,POPLATEK MESICNE,970907,Savings account
3516,36,POPLATEK TYDNE,970907,Savings account
178,59,POPLATEK MESICNE,970906,Salary account
2079,55,POPLATEK MESICNE,970906,NRI account
3444,53,POPLATEK TYDNE,970904,Salary account
1764,68,POPLATEK MESICNE,970904,Savings account
4158,27,POPLATEK MESICNE,970904,Salary account
585,4,POPLATEK MESICNE,970904,NRI account
5698,1,POPLATEK MESICNE,970904,NRI account
10243,44,POPLATEK MESICNE,970903,NRI account
1026,20,POPLATEK MESICNE,970903,Salary account
45,64,POPLATEK MESICNE,970902,Salary account
2172,1,POPLATEK MESICNE,970902,Salary account
909,30,POPLATEK MESICNE,970902,NRI account
3950,48,POPLATEK MESICNE,970901,Salary account
2142,42,POPLATEK MESICNE,970901,Salary account
2492,73,POPLATEK MESICNE,970901,Savings account
3901,12,POPLATEK MESICNE,970830,NRI account
2422,27,POPLATEK MESICNE,970829,Savings account
3556,58,POPLATEK MESICNE,970829,Salary account
1154,5,POPLATEK TYDNE,970829,Savings account
2317,68,POPLATEK MESICNE,970828,Savings account
3828,44,POPLATEK MESICNE,970828,Salary account
3798,15,POPLATEK MESICNE,970827,Salary account
859,13,POPLATEK MESICNE,970826,NRI account
2394,62,POPLATEK MESICNE,970823,Savings account
8639,46,POPLATEK MESICNE,970822,Salary account
4003,25,POPLATEK MESICNE,970822,Salary account
3537,45,POPLATEK MESICNE,970822,Salary account
3070,56,POPLATEK MESICNE,970821,Salary account
645,70,POPLATEK MESICNE,970821,Savings account
1795,53,POPLATEK MESICNE,970821,Savings account
2442,14,POPLATEK MESICNE,970821,NRI account
2845,62,POPLATEK MESICNE,970821,Salary account
1845,47,POPLATEK MESICNE,970820,NRI account
1181,69,POPLATEK MESICNE,970820,NRI account
2607,1,POPLATEK MESICNE,970819,NRI account
653,27,POPLATEK MESICNE,970819,NRI account
10799,76,POPLATEK MESICNE,970819,Salary account
1567,10,POPLATEK MESICNE,970819,NRI account
996,47,POPLATEK MESICNE,970818,NRI account
37,20,POPLATEK MESICNE,970818,Salary account
2829,66,POPLATEK MESICNE,970818,Salary account
529,39,POPLATEK MESICNE,970818,Savings account
1857,37,POPLATEK MESICNE,970818,Savings account
9140,32,POPLATEK MESICNE,970818,Salary account
2485,41,POPLATEK MESICNE,970818,Salary account
1881,60,POPLATEK MESICNE,970817,Savings account
2595,1,POPLATEK MESICNE,970817,NRI account
13,76,POPLATEK MESICNE,970817,Salary account
1355,1,POPLATEK MESICNE,970816,Savings account
3062,17,POPLATEK MESICNE,970815,Savings account
9433,59,POPLATEK MESICNE,970814,Salary account
509,36,POPLATEK MESICNE,970814,NRI account
1747,30,POPLATEK MESICNE,970814,Salary account
2073,59,POPLATEK MESICNE,970814,Savings account
3097,66,POPLATEK MESICNE,970814,Savings account
792,3,POPLATEK MESICNE,970813,Savings account
1043,1,POPLATEK MESICNE,970813,NRI account
591,1,POPLATEK MESICNE,970812,Savings account
5572,15,POPLATEK MESICNE,970811,Salary account
3046,74,POPLATEK MESICNE,970811,Savings account
2138,75,POPLATEK MESICNE,970811,Salary account
1662,1,POPLATEK MESICNE,970811,Salary account
386,1,POPLATEK MESICNE,970811,Savings account
2776,23,POPLATEK MESICNE,970810,Savings account
785,21,POPLATEK TYDNE,970809,Savings account
2338,59,POPLATEK MESICNE,970808,Savings account
1319,56,POPLATEK PO OBRATU,970808,Salary account
311,50,POPLATEK MESICNE,970808,NRI account
3293,1,POPLATEK MESICNE,970808,Salary account
1648,40,POPLATEK MESICNE,970808,Salary account
38,19,POPLATEK TYDNE,970808,Salary account
1434,70,POPLATEK MESICNE,970808,Savings account
7437,19,POPLATEK TYDNE,970808,Salary account
4784,46,POPLATEK MESICNE,970808,NRI account
2644,1,POPLATEK MESICNE,970808,NRI account
307,26,POPLATEK MESICNE,970807,Savings account
1951,23,POPLATEK MESICNE,970807,NRI account
4445,47,POPLATEK MESICNE,970807,Savings account
2000,5,POPLATEK MESICNE,970806,Salary account
3724,16,POPLATEK MESICNE,970806,Savings account
3281,1,POPLATEK MESICNE,970806,Savings account
326,61,POPLATEK MESICNE,970806,NRI account
1389,34,POPLATEK MESICNE,970805,Salary account
1033,32,POPLATEK MESICNE,970805,Savings account
2449,23,POPLATEK MESICNE,970805,Salary account
2927,37,POPLATEK MESICNE,970804,NRI account
4091,9,POPLATEK MESICNE,970804,NRI account
6602,74,POPLATEK MESICNE,970804,Salary account
2558,46,POPLATEK MESICNE,970804,Savings account
3208,29,POPLATEK MESICNE,970804,NRI account
4533,68,POPLATEK MESICNE,970803,NRI account
3343,1,POPLATEK MESICNE,970803,NRI account
3686,77,POPLATEK MESICNE,970803,Salary account
3381,68,POPLATEK MESICNE,970802,NRI account
1522,48,POPLATEK MESICNE,970802,Salary account
41,72,POPLATEK MESICNE,970802,Salary account
1950,70,POPLATEK MESICNE,970801,Salary account
811,14,POPLATEK TYDNE,970801,NRI account
3185,45,POPLATEK MESICNE,970729,NRI account
5758,44,POPLATEK MESICNE,970728,NRI account
1776,36,POPLATEK MESICNE,970727,Savings account
547,24,POPLATEK MESICNE,970727,Savings account
2197,46,POPLATEK MESICNE,970726,Salary account
2587,1,POPLATEK MESICNE,970725,Salary account
3346,1,POPLATEK MESICNE,970725,Salary account
1454,46,POPLATEK MESICNE,970725,NRI account
2196,11,POPLATEK MESICNE,970724,Savings account
2646,6,POPLATEK MESICNE,970724,Salary account
2722,69,POPLATEK MESICNE,970724,Salary account
2679,67,POPLATEK MESICNE,970724,Salary account
1794,74,POPLATEK MESICNE,970723,Salary account
801,16,POPLATEK MESICNE,970723,NRI account
3057,9,POPLATEK MESICNE,970723,Salary account
5290,34,POPLATEK MESICNE,970721,Salary account
2316,1,POPLATEK MESICNE,970721,Savings account
611,46,POPLATEK MESICNE,970721,Salary account
1890,1,POPLATEK TYDNE,970720,NRI account
2204,9,POPLATEK MESICNE,970720,NRI account
970,18,POPLATEK MESICNE,970720,Savings account
211,28,POPLATEK MESICNE,970719,Savings account
1432,27,POPLATEK MESICNE,970719,NRI account
2369,49,POPLATEK MESICNE,970719,Salary account
3867,1,POPLATEK MESICNE,970719,Savings account
680,17,POPLATEK MESICNE,970718,Savings account
284,54,POPLATEK MESICNE,970718,Savings account
1027,68,POPLATEK MESICNE,970718,Salary account
1995,54,POPLATEK MESICNE,970718,Savings account
2183,54,POPLATEK MESICNE,970717,Salary account
7052,55,POPLATEK PO OBRATU,970717,Salary account
483,70,POPLATEK MESICNE,970715,Salary account
2678,1,POPLATEK MESICNE,970715,Salary account
705,35,POPLATEK MESICNE,970714,Salary account
2447,38,POPLATEK MESICNE,970714,Salary account
2452,1,POPLATEK MESICNE,970714,Savings account
469,72,POPLATEK MESICNE,970714,Salary account
9560,1,POPLATEK MESICNE,970713,NRI account
3985,1,POPLATEK MESICNE,970713,Salary account
3833,77,POPLATEK MESICNE,970713,NRI account
3428,27,POPLATEK MESICNE,970712,Savings account
679,22,POPLATEK MESICNE,970712,Savings account
10644,16,POPLATEK MESICNE,970712,NRI account
2182,22,POPLATEK MESICNE,970712,Salary account
2992,43,POPLATEK MESICNE,970711,NRI account
11317,50,POPLATEK MESICNE,970711,Savings account
1681,68,POPLATEK MESICNE,970711,NRI account
1110,54,POPLATEK MESICNE,970710,Salary account
105,21,POPLATEK MESICNE,970710,Savings account
1647,1,POPLATEK MESICNE,970709,Savings account
2169,57,POPLATEK MESICNE,970709,Salary account
258,64,POPLATEK MESICNE,970709,Savings account
3906,52,POPLATEK MESICNE,970708,NRI account
3529,12,POPLATEK MESICNE,970708,Salary account
864,72,POPLATEK MESICNE,970708,NRI account
4336,2,POPLATEK MESICNE,970708,Salary account
3433,73,POPLATEK MESICNE,970707,NRI account
2337,65,POPLATEK MESICNE,970707,NRI account
3,5,POPLATEK MESICNE,970707,NRI account
2093,64,POPLATEK MESICNE,970707,Savings account
2728,52,POPLATEK TYDNE,970706,Salary account
1339,76,POPLATEK MESICNE,970706,Salary account
1929,1,POPLATEK MESICNE,970706,NRI account
4150,65,POPLATEK MESICNE,970705,Salary account
10774,46,POPLATEK MESICNE,970705,Savings account
185,32,POPLATEK MESICNE,970704,Savings account
7721,13,POPLATEK MESICNE,970703,Salary account
3889,16,POPLATEK MESICNE,970703,Savings account
3085,66,POPLATEK MESICNE,970703,Savings account
768,26,POPLATEK MESICNE,970703,NRI account
8919,62,POPLATEK MESICNE,970703,NRI account
3154,1,POPLATEK MESICNE,970702,NRI account
2081,36,POPLATEK MESICNE,970702,NRI account
1255,68,POPLATEK MESICNE,970702,Salary account
2208,7,POPLATEK MESICNE,970702,Savings account
1284,55,POPLATEK MESICNE,970702,NRI account
8153,9,POPLATEK MESICNE,970702,Salary account
1346,74,POPLATEK MESICNE,970701,Salary account
1514,7,POPLATEK MESICNE,970701,Salary account
5196,13,POPLATEK TYDNE,970629,Salary account
2883,77,POPLATEK MESICNE,970629,Salary account
2939,5,POPLATEK MESICNE,970628,NRI account
3665,28,POPLATEK MESICNE,970628,Savings account
3524,66,POPLATEK MESICNE,970628,NRI account
4156,42,POPLATEK MESICNE,970627,Savings account
1921,42,POPLATEK MESICNE,970627,NRI account
2200,1,POPLATEK MESICNE,970626,Salary account
3245,45,POPLATEK MESICNE,970626,Salary account
2806,53,POPLATEK MESICNE,970626,Salary account
556,12,POPLATEK MESICNE,970626,NRI account
4301,1,POPLATEK MESICNE,970626,Savings account
2443,46,POPLATEK MESICNE,970625,Salary account
4309,74,POPLATEK TYDNE,970625,NRI account
3075,71,POPLATEK MESICNE,970625,Salary account
3461,8,POPLATEK MESICNE,970623,Salary account
672,53,POPLATEK MESICNE,970623,Salary account
8645,60,POPLATEK MESICNE,970623,Savings account
438,37,POPLATEK MESICNE,970623,Salary account
3262,23,POPLATEK MESICNE,970622,Savings account
3100,65,POPLATEK MESICNE,970622,Salary account
1839,5,POPLATEK MESICNE,970622,Salary account
3996,1,POPLATEK MESICNE,970622,Savings account
622,24,POPLATEK MESICNE,970622,Savings account
2340,14,POPLATEK MESICNE,970622,NRI account
641,40,POPLATEK MESICNE,970622,NRI account
4858,67,POPLATEK MESICNE,970621,NRI account
1354,31,POPLATEK MESICNE,970621,NRI account
2057,1,POPLATEK MESICNE,970620,Savings account
2560,15,POPLATEK MESICNE,970620,Savings account
3986,19,POPLATEK MESICNE,970620,NRI account
3719,37,POPLATEK MESICNE,970619,Savings account
1551,72,POPLATEK MESICNE,970618,Savings account
1095,54,POPLATEK MESICNE,970618,Savings account
3703,74,POPLATEK MESICNE,970618,Salary account
2135,51,POPLATEK MESICNE,970617,Savings account
2720,2,POPLATEK TYDNE,970616,NRI account
2006,25,POPLATEK MESICNE,970616,Savings account
3953,1,POPLATEK MESICNE,970616,Savings account
2372,1,POPLATEK MESICNE,970615,Savings account
6097,29,POPLATEK MESICNE,970615,Salary account
2878,1,POPLATEK MESICNE,970614,NRI account
1015,1,POPLATEK MESICNE,970614,Salary account
1753,71,POPLATEK MESICNE,970614,NRI account
5648,59,POPLATEK MESICNE,970613,Salary account
2509,43,POPLATEK MESICNE,970613,Savings account
1841,36,POPLATEK MESICNE,970612,NRI account
7180,7,POPLATEK TYDNE,970612,Salary account
2019,64,POPLATEK MESICNE,970611,Savings account
1491,47,POPLATEK MESICNE,970611,NRI account
3496,42,POPLATEK MESICNE,970611,Savings account
2956,15,POPLATEK MESICNE,970610,NRI account
3211,72,POPLATEK MESICNE,970609,Savings account
3060,73,POPLATEK MESICNE,970609,Salary account
4471,4,POPLATEK TYDNE,970609,NRI account
349,72,POPLATEK MESICNE,970608,NRI account
682,54,POPLATEK MESICNE,970608,Savings account
291,7,POPLATEK MESICNE,970608,NRI account
9673,76,POPLATEK MESICNE,970607,NRI account
229,1,POPLATEK MESICNE,970607,Salary account
614,25,POPLATEK MESICNE,970607,Salary account
1724,48,POPLATEK MESICNE,970607,Savings account
1185,12,POPLATEK MESICNE,970607,Salary account
1537,54,POPLATEK MESICNE,970606,NRI account
3768,52,POPLATEK MESICNE,970606,Savings account
5944,27,POPLATEK MESICNE,970606,Savings account
2404,8,POPLATEK MESICNE,970605,Savings account
3202,8,POPLATEK MESICNE,970604,NRI account
879,9,POPLATEK MESICNE,970604,NRI account
3700,1,POPLATEK MESICNE,970603,Savings account
2564,36,POPLATEK MESICNE,970603,Salary account
3951,22,POPLATEK MESICNE,970602,Savings account
4130,70,POPLATEK MESICNE,970601,NRI account
4527,9,POPLATEK MESICNE,970601,NRI account
2860,54,POPLATEK TYDNE,970530,NRI account
10679,1,POPLATEK MESICNE,970530,NRI account
5,15,POPLATEK MESICNE,970530,Savings account
3905,54,POPLATEK PO OBRATU,970528,Salary account
464,43,POPLATEK MESICNE,970528,Salary account
1574,75,POPLATEK MESICNE,970528,NRI account
2891,42,POPLATEK MESICNE,970528,Salary account
11053,46,POPLATEK MESICNE,970527,NRI account
3172,77,POPLATEK MESICNE,970527,NRI account
868,1,POPLATEK MESICNE,970526,Salary account
534,1,POPLATEK MESICNE,970526,NRI account
3662,4,POPLATEK MESICNE,970526,Savings account
3732,21,POPLATEK MESICNE,970525,Savings account
1710,74,POPLATEK MESICNE,970525,Salary account
760,1,POPLATEK MESICNE,970524,Savings account
2324,1,POPLATEK MESICNE,970524,Salary account
7559,56,POPLATEK MESICNE,970524,NRI account
9208,29,POPLATEK MESICNE,970524,NRI account
3163,41,POPLATEK MESICNE,970524,Savings account
834,3,POPLATEK MESICNE,970523,Salary account
1956,63,POPLATEK MESICNE,970523,NRI account
4729,66,POPLATEK MESICNE,970523,Salary account
10343,8,POPLATEK MESICNE,970522,Savings account
2743,51,POPLATEK MESICNE,970522,Salary account
2698,49,POPLATEK MESICNE,970521,NRI account
3872,25,POPLATEK MESICNE,970521,NRI account
3403,63,POPLATEK MESICNE,970520,NRI account
1424,32,POPLATEK MESICNE,970520,NRI account
2366,68,POPLATEK MESICNE,970520,Savings account
2668,21,POPLATEK MESICNE,970520,NRI account
2392,1,POPLATEK MESICNE,970518,Salary account
8713,53,POPLATEK MESICNE,970518,Savings account
1697,63,POPLATEK MESICNE,970517,Savings account
1808,28,POPLATEK MESICNE,970516,Salary account
3299,11,POPLATEK TYDNE,970516,NRI account
383,38,POPLATEK MESICNE,970515,Salary account
1953,9,POPLATEK TYDNE,970515,NRI account
3344,70,POPLATEK MESICNE,970515,Salary account
139,38,POPLATEK TYDNE,970515,Salary account
